,GHI_Open_Field (W/m2),GHI_Agrivoltaic (W/m2),Temperature_Open_Field (C),Temperature_Agrivoltaic (C),Wind_Speed (m/s),Relative_Humidity (%),Panel_Tilt (degrees)
2022-01-03 05:00:00+00:00,0.0,0.0,5.07,3.87,2.9,65.55,0.0
2022-01-03 06:00:00+00:00,0.0,0.0,5.21,4.01,2.83,68.1,0.0
2022-01-03 07:00:00+00:00,56.0,56.0,5.18,3.9799999999999995,3.17,68.1,5.7736564400762225
2022-01-03 08:00:00+00:00,119.0,119.0,5.77,4.569999999999999,3.24,65.65,22.860985082328874
2022-01-03 09:00:00+00:00,177.0,175.2,6.9,5.7,3.31,61.0,55.00000000000001
2022-01-03 10:00:00+00:00,154.0,153.16,7.82,6.62,3.45,58.8,32.99996660915284
2022-01-03 11:00:00+00:00,198.0,193.4,8.71,7.510000000000001,3.59,59.0,3.8854175962151984
2022-01-03 12:00:00+00:00,208.0,201.92,9.41,8.21,3.66,59.25,26.31610057261602
2022-01-03 13:00:00+00:00,209.0,209.0,9.73,8.530000000000001,3.59,61.55,50.39819533002153
2022-01-03 14:00:00+00:00,153.0,153.0,9.92,8.72,3.52,61.65,29.77598670501543
2022-01-03 15:00:00+00:00,56.0,56.0,9.55,8.350000000000001,3.24,63.9,9.296636031926724
2022-01-03 16:00:00+00:00,0.0,0.0,8.74,7.54,3.03,68.7,0.0
2022-01-03 17:00:00+00:00,0.0,0.0,7.89,6.6899999999999995,2.97,73.95,0.0
2022-01-03 18:00:00+00:00,0.0,0.0,7.12,5.92,2.97,79.55,0.0
2022-01-03 19:00:00+00:00,0.0,0.0,6.89,5.6899999999999995,3.24,73.8,0.0
2022-01-03 20:00:00+00:00,0.0,0.0,6.26,5.06,3.1,76.55,0.0
2022-01-03 21:00:00+00:00,0.0,0.0,5.83,4.63,3.1,76.5,0.0
2022-01-03 22:00:00+00:00,0.0,0.0,5.37,4.17,3.17,76.5,0.0
2022-01-03 23:00:00+00:00,0.0,0.0,5.03,3.83,3.38,79.35,0.0
2022-01-04 00:00:00+00:00,0.0,0.0,4.68,3.4799999999999995,3.38,79.3,0.0
2022-01-04 01:00:00+00:00,0.0,0.0,4.53,3.33,3.24,79.3,0.0
2022-01-04 02:00:00+00:00,0.0,0.0,4.26,3.0599999999999996,3.31,82.3,0.0
2022-01-04 03:00:00+00:00,0.0,0.0,4.17,2.9699999999999998,3.45,85.5,0.0
2022-01-04 04:00:00+00:00,0.0,0.0,4.12,2.92,3.52,85.5,0.0
2022-01-04 05:00:00+00:00,0.0,0.0,4.2,3.0,3.45,85.5,0.0
2022-01-04 06:00:00+00:00,0.0,0.0,4.25,3.05,3.52,85.5,0.0
